1(disz@t)	NU	4
1(disz@t)-kam	NU.GEN.COP-3-SG	2
1(disz@t)-kam	NU.GEN.COP-3-SG.TERM	1
1(disz@t)-ta	NU.ABL	1
1(esze3)	N	23
1(gesz2)	NU	83
1(gesz'u)	NU	15
1(gesz'u)	NU.ABS	1
1(iku)	N	12
1(szar2)	N	1
1(u)	NU	271
1(u)	NU		6
1(u)-am3	NU.ABS.COP-3-SG	1
1(u)-kam	NU.GEN.COP-3-SG	2
1(u)-sze3	NU.TERM	2
1(u)-ta	NU.ABL	1
1/2(disz)	NU	61
1/2(disz)-sze3	NU.TERM	1
1/2(disz)-ta	NU.ABL	1
1/2(iku)	N	25
1/3(disz)	NU	45
1/3(disz){sza}	NU	1
1/3(disz)-am3	NU.ABS.COP-3-SG	1
1/3(disz)-kam	NU.GEN.COP-3-SG	1
1/3(disz)-ta	NU.ABL	1
1/4(iku)	N	16
2(asz)	NU	70
2(asz)	NU.ABS	2
2(ban2)	N	40
2(ban2)	N		2
2(ban2)	N.ABS	3
2(barig)	N	99
2(barig)	N.ABS	4
2(barig)-ta	N.ABL	2
2(bur3)	N	9
2(disz)	NU	413
2(disz)	NU		11
2(disz)	NU.GEN	1
2(disz)-am3	NU.ABS.COP-3-SG	6
2(disz)-kam	NU.GEN.COP-3-SG	41
2(disz)-kam	NU.GEN.COP-3-SG		1
2(disz)-kam	NU.GEN.COP-3-SG.ABS	1
2(disz)-kam	NU.GEN.COP-3-SG.GEN.ABS	1
2(disz)-kam	NU.GEN.COP-3-SG.TERM	1
2(disz)-sze3	NU.TERM	5
2(disz)-ta	NU.ABL	3
2(disz@t)	NU	2
2(disz@t)-kam	NU.GEN.COP-3-SG	1
2(esze3)	N	17
2(gesz2)	NU	29
2(gesz2)	NU		1
2(gesz2)-kam	NU.GEN.COP-3-SG	1
2(gesz'u)	NU	8
2(gesz'u)-kam	NU.GEN.COP-3-SG	1
2(iku)	N	9
2(szar2)	NU	3
2(u)	NU	152
2(u)	NU		1
2(u)	NU.ABS	2
2(u)	NU.TERM	2
2(u)-am3	NU.ABS.COP-3-SG	1
2(u)-kam	NU.GEN.COP-3-SG	3
2/3(disz)	NU	30
2/3(disz){sza}	NU	1
2/3(disz)-kam	NU.GEN.COP-3-SG	2
3(asz)	NU	39
3(ban2)	N	69
3(ban2)	N		1
3(ban2)	N.ABS	34
3(ban2)-ta	N.ABL	1
3(barig)	N	42
3(barig)	N.ABS	3
3(bur3)	N	3
3(bur'u)	N	3
3(disz)	NU	240
3(disz)	NU		3
3(disz)	NU.GEN	1
3(disz)-am3	NU.ABS.COP-3-SG	3
3(disz)-kam	NU.GEN.COP-3-SG	24
3(disz)-kam	NU.GEN.COP-3-SG.L1	1
3(disz)-kam	NU.GEN.COP-3-SG.TERM	1
3(disz)-kam-asz	NU.GEN.3-SG-COP.TERM	1
3(disz)-kam-asz	NU.GEN.COP-3-SG.TERM	1
3(disz)-sze3	NU.TERM	8
3(disz@t)-kam	NU.GEN.COP-3-SG	2
3(gesz2)	NU	13
3(gesz2)	NU		1
3(gesz'u)	NU	3
3(iku)	N	15
3(u)	NU	90
3(u)	NU		2
3(u)-kam	NU.GEN.COP-3-SG	1
3(u)-sze3	NU.TERM	1
4(asz)	NU	22
4(ban2)	N	25
4(ban2)	N		1
4(barig)	N	34
4(barig)	N.ABS	1
4(bur3)	N	2
4(bur'u)	N	1
4(disz)	NU	139
4(disz)	NU.ABS	1
4(disz)-am3	NU.ABS.COP-3-SG	1
4(disz)-kam	NU.GEN.COP-3-SG	19
4(disz)-kam	NU.GEN.COP-3-SG		1
4(disz)-kam	NU.GEN.COP-3-SG.L1	1
4(disz)-sze3	NU.TERM	2
4(disz@v)	NU	1
4(gesz2)	NU	10
4(gesz2)	NU		1
4(gesz2)-kam	NU.GEN.COP-3-SG	1
4(gesz'u)	NU	1
4(iku)	N	13
4(u)	NU	49
4(u)	NU		1
4(u)-kam	NU.GEN.COP-3-SG	1
5(asz)	NU	15
5(ban2)	N	22
5(ban2)	N.ABS	1
5(bur3)	N	2
5(disz)	NU	251
5(disz)	NU		6
5(disz)	NU.TERM	1
5(disz)-am3	NU.GEN.COP-3-SG	1
5(disz)-kam	NU.GEN.COP-3-SG	7
5(disz)-kam	NU.GEN.COP-3-SG		1
5(disz)-kam	NU.GEN.COP-3-SG.GEN.ABS	1
5(disz)-kam	NU.GEN.COP-3-SG.L1	3
5(disz)-sze3	NU.TERM	7
5(gesz2)	NU	8
5(gesz2)	NU		1
5(gesz'u)	NU	1
5(iku)	N	5
5(u)	NU	52
5(u)-kam	NU.GEN.COP-3-SG	1
5/6(disz)	NU	17
5/6(disz)-am3	NU.ABS.COP-3-SG	1
5/6(disz)-bi	NU.3-SG-NH-POSS.ABS	2
5/6(disz)-kam	NU.GEN.COP-3-SG	1
6(asz)	NU	17
6(bur3)	N	3
6(disz)	NU	112
6(disz)	NU		3
6(disz)	NU.ABS	1
6(disz)	NU.TERM	1
6(disz)-kam	NU.GEN.COP-3-SG	9
6(disz)-sze3	NU.TERM	1
6(gesz2)	NU	7
7(asz)	NU	18
